"Carimbo de data/hora","Qual a classificação?","Positiva ou Negativa?","Fonte","Autor","Palavras-chave utilizada para busca","Teor textual","Data de publicação"
"2021/09/24 5:07:22 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; escravo","Nas legislações provinciais, após a Independência (1822), este núcleo conceitual
citado, contendo os cinco componentes do significado de quilombo, é integralmente
mantido e preservado. Não há quaisquer rupturas ou descontinuidades.
As variações, quando existentes, são de ordem numérica e se referem diretamente
à redução da quantidade mínima de “fugidos” necessária para caracterizar o que se
denominava quilombo. No Maranhão, em 1847, após a repressão aos chamados “balaios”,
as leis provinciais voltadas para a reorganização do sistema escravista nas grandes
plantações de algodão e cana-de- açúcar, reeditam aquela classificação elementar.
Reeditam-na, porém, com maior severidade, intensificando os aparatos repressivos,
e falam em apenas “dois escravos fugidos” como constituindo quilombo. Os demais
componentes do significado, como localização nas matas e a posição face à “casa dos
senhores”, eufemizada no termo estabelecimento, são mantidos sem qualquer retoque.
Uma ressalva poderia ser feita com respeito ao fato de se admitir uma localização
vizinha ao chamado estabelecimento. Isto denota a possibilidade de vínculos mercantis
e, portanto, de uma observação similar àquela feita quanto ao texto de Perdigão
Malheiro.","2011-01-01"
"2021/09/24 5:09:06 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; escravo ","Percebe-se, pois, que os dispositivos legais com fundamentos colonialistas e as
análises econômicas formalistas se justificavam mutuamente e emprestavam força
à imposição de seus inseparáveis preceitos. Em suma, não houve, paralela mente à
ação abolicionista, uma produção sistemática de conhecimentos críticos capaz de
desfazer a força do consenso histórico das categorias que organizavam o pensamento
escravocrata. No caso dos chamados quilombos o consenso repousou no inconsciente
coletivo e nele fez-se verdade, senão dogma. Inexistiram relativizações
ou incorporação do repertório de observações empíricas encontráveis em inúmeros
autores dos séculos XVIII e XIX","2011-01-01"
"2021/09/24 5:11:32 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; afirmação étnica; comunidades negras rurais ","Por intermédio da categoria quilombo, ressemantizada tanto política, quanto
juridicamente, tem-se, pois, um novo capítulo de afirmação étnica e de mobilização
política de segmentos camponeses, que se refere particularmente às chamadas
terras de preto ou às situações designadas pelo movimento negro como “comunidades
negras rurais”. O conceito de etnia aqui enfocado não é definido por critérios
“naturais” de nascimento, tribo e religião, antes é construído a partir de conflitos
sociais. A afirmação étnica em jogo não se atém necessariamente a critérios mais
óbvios ditados por rituais religiosos, por elementos lingüísticos, por características
ditas “raciais” (estatura, formas corpóreas, “cor da pele”, cor dos olhos, cor dos
mamilos, espessura dos fios de cabelo, morfologia da cabeça, forma do nariz e dos
lábios) ou ainda por itens de cultura material (arquitetura das casas, planta física
do povoado, formato dos instrumentos de trabalho, tipos de peças de vestuário,
de estamparias de tecidos, de ornamentos – brincos, colares, corte de cabelo – e de
cerâmicas). ","2011-01-01"
"2021/09/24 5:14:51 PM GMT-3","Quilombolas","Positiva","","","quilombo; identidade étnica; povos e comunidades ","Se a referência a quilombos denota, por um lado, uma certa particularidade de
categoria datada, referida a uma situação histórica especifica, ou seja, retomada no
caso brasileiro desde a Constituição Federal de 05 de outubro de 1988, por outro,
a abrangência da identidade étnica é mais genérica e transnacional e se confronta
com o próprio advento de uma globalização econômica com pretensões homogeneizadoras.
No que concerne ao dispositivo constitucional, mais exatamente o Art. 68 das
Disposições Constitucionais Transitórias, o pano de fundo da referência implicaria
em como resolver juridicamente os problemas, dentre eles, o agrário, dos povos e
comunidades que estiveram submetidos à escravidão formal em passado recente.
Em outras palavras, como assegurar aos descendentes de escravos a condição de
cidadãos com plenos direitos, iguais aos demais.","2011-01-01"
"2021/09/24 5:34:09 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; conflito; reafirmação étnica; territorialização","Em termos de síntese, pode-se asseverar que, no período enfocado, constata-
-se inúmeras reedições e novos títulos, dentro da mesma problemática dos quilombos,
marcados também pela força que envolve as noções ambientalistas e aquelas
de conflitos sociais e de direitos humanos. Paradoxalmente, a reafirmação étnica
articulada com processos de territorialização estaria encontrando terreno propício
para florescer numa conjuntura de globalização que, enfatizando os macromercados
e os blocos econômicos busca diminuir a importância da identidade nacional
e do próprio dado étnico. Ela floresce, portanto, numa situação de conflito aberto
entre diferentes forças e com repercussões de amplitude transnacional.","2011-01-01"
"2021/09/24 5:36:16 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; conflito; comunidades negras rurais","A atualidade da questão legitima a estratégia editorial de sucessivas reedições,
bem como inspira os autores a produzirem achegas, informações adicionais
e novas formulações. Reatualizam-se, pois, os temas correlatos às denominadas
“comunidades negras rurais” a partir da intensificação de debates internacionais.
Richard Price reedita, em 1996, Maroon Societies – Rebel Slave Communities
in the Americas com um novo prefácio, contendo mais de uma centena e meia de
referências bibliográficas, além de informações atualizadas sobre o Brasil, a Jamaica,
os Estados Unidos, as Guianas e o Suriname. Price publica também um artigo
no Brasil, integrando coletânea organizada por Reis e Gomes (1996), intitulado
“Palmares como poderia ter sido”. Por outro lado, ganham relevância internacional
os fatos de 1995 concernentes a violências praticadas contra “Maroon populations”
pelo governo do Suriname100 e do papel da Interamerican Court of Human Rights,
aceitando denúncias de violações perpetradas contra povos indígenas, camponeses
e os denominados quilombolas.101 A tragicidade extrema dos conflitos aparece refletida na classificação destes atos de violência como etnocídio.","2011-01-01"
"2021/09/24 5:37:50 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","identidade; território","No estudo das autodefinições, as pesquisas têm constatado superposições,
tanto de territórios – as chamadas terras de preto e as terras de índio – quanto de
identidades; ainda que não se tenha constatado aqui uma transitividade identitária
à molde daquela que, nos Estados Unidos, envolve a categoria black indians (Katz,
1986). Tais constatações revelam a complexidade de certos obstáculos dispostos às
formulações do senso comum, douto para pensar a sociedade brasileira, e, por extensão,
às investigações antropológicas. Procedimentos metodológicos e hábitos
intelectuais que foram úteis em passado recente, agora podem entravar o trabalho
de pesquisa. A ressemantização de quilombo teria, neste sentido, uma dimensão
nitidamente epistemológica que é co-extensiva à delimitação do objeto.","2011-01-01"
"2021/09/24 5:39:22 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; rural","A este tempo, os quilombos constituíram um subtema dentro da problemática referida
às relações entre raça e classe social, as quais eram privilegiadas por uma vasta
rede de pesquisas financiada pela UNESCO em 1950, que objetivava entender
estas relações no “Brasil rural”. Tais pesquisas, amparadas num convênio entre a
Universidade de Columbia (EUA), a Universidade da Bahia e a Universidade do
Brasil, foram sugeridas por Alfred Métraux102 e delas participaram, dentre outros,
os seguintes antropólogos e sociólogos: Charles Wagley, Thales de Azevedo, Luis
Costa Pinto103 e Marvin Harris, Harry Hutchinson e Ben Zimmerman.","2011-01-01"
"2021/09/24 5:40:55 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","quilombo; remanescentes de quilombos","Uma outra coletânea, editada por Ekofi Agorsah,106 que participou do referido
evento, integrando a mesa redonda denominada “Quilombos hoje: reapropriações
sociais de seu significado”, teve circulação restrita, do mesmo modo que, as onze
comunicações apresentadas no âmbito do Grupo de Trabalho “Remanescentes de
Quilombos: lutas, conquistas e impasses”107. A XX Reunião deu também continuidade
aos objetivos do Grupo de Trabalho da ABA sobre Comunidades Negras
Rurais, fixados a partir de encontro realizado no Rio de Janeiro nos dias 17 e 18 de
outubro de 1994.","2011-01-01"
"2021/09/24 5:43:58 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","terras de quilombos; mapeamento; conhecimentos; terras de preto; quilombo","Os objetos de disputa tornam-se mais
explícitos, enunciam pontos de tensão e estão a exigir análise detida. O subtema
da ordem do dia consiste, por conseguinte, no mapeamento das terras de quilombos,
seja em escala regional, seja no âmbito nacional. Os elementos cartográficos e
censitários, tradicionais mecanismos de controle adstritos aos conhecimentos militares,
são enfatizados. Trata-se também de enunciar elementos quantitativos, asseverando
quantas e quais são, à molde de um banco de dados, bem como estimativas
e totalizações parciais, dimensionando as áreas compreendidas pelos chamados
quilombos e/ou terras de preto. Está-se diante de um amplo processo de legitimação
que abrange igualmente as instituições de produção científica e as agências que
agrupam disciplinas militantes.
","2011-01-01"
"2021/09/24 5:46:12 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","identidade coletiva; quilombo; escravidão;","Neste estado atual de conhecimento, que envolve mais de uma centena de
produtores intelectuais, parece que percebem os quilombos, menos como uma
definição jurídico-formal – que remete às disposições legais das autoridades coloniais
– do que como um instrumento de luta necessariamente imposto como tema
de reflexão pelas mobilizações camponesas, para assegurar seus territórios e o reconhecimento
de sua identidade coletiva objetivada em movimento. Talvez sejam
estes os parâmetros que passam a orientar esta produção intelectual e científica,
que ora constitui um domínio próprio de investigação e em cujos meandros se dispõem
estas reedições119 e novos títulos. Estes últimos, embora produzidos, muitas
vezes, de maneira tangencial ou indireta face ao tema quilombo, acabam sendo
classificados neste âmbito, assim como inúmeros outros textos referentes ao tema
da escravidão. Mais que atualidade, parece prevalecer uma combinação entre novos
instrumentos teóricos e uma certa capacidade de mobilização que absorve os
problemas correlativos e que confere uma certa especificidade a este domínio de
conhecimento ora em delimitação","2011-01-01"
"2021/09/24 5:48:12 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","terra; comunidade; propriedade; identidade; consciência étnica  ","Sem pretender analisar toda a extensão destes deslocamentos
importa asseverar que foi instituída, no ato das disposições constitucionais transitórias,
consoante o Art. 68, nova modalidade de apropriação formal de terras para
comunidades e grupos sociais como os quilombolas baseada no direito à propriedade
definitiva e não mais disciplinada pela tutela, como soa acontecer com os povos
indígenas. Estes processos de rupturas e de conquistas, que levaram alguns juristas
a falar em um “Estado Pluriétnico” ou que confere proteção a diferentes expressões
étnicas, não resultaram, entretanto, na adoção pelo Estado de uma “política étnica”,
enquanto “política de identidade”, e nem tampouco em ações governamentais sistemáticas
capazes de reconhecer prontamente os fatores situacionais que influenciam
uma consciência étnica.","2011-01-01"
"2021/09/24 5:49:58 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","propriedade; quilombola; quilombo; terras indígenas; comunidades remanescentes de quilombos ","Os problemas de efetivação das novas disposições constitucionais revelam, em
decorrência, obstáculos concretos de difícil superação principalmente na homologação
de terras indígenas e na titulação das terras das comunidades remanescentes de
quilombos. Conforme já foi sublinhado as terras indígenas são definidas como bens
da União e destinam-se à posse permanente dos índios, evidenciando uma situação
de tutela e distinguindo-se, portanto, das terras das comunidades remanescentes de
quilombos, que são reconhecidas na Constituição de 1988 como de propriedade definitiva dos quilombolas e em seu favor tituladas.","2011-01-01"
"2021/09/24 5:51:33 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","titulação; terra; comunidade remanescente de quilombo","Levando-se em conta que, pelo menos desde maio de 2002, não ocorre qualquer
titulação tem-se que tal paralisação já se estende por um período superior a
dois anos. Repetindo: há mais de dois anos não ocorre qualquer titulação de terras
de comunidades remanescentes de quilombos.
Neste mesmo período, entretanto, os interesses contrários ao reconhecimento
e titulação das comunidades quilombolas tiveram uma atuação ágil tanto dentro,
quanto fora do aparato burocrático.","2011-01-01"
"2021/09/24 5:54:24 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","conflito; titulações; reintegração de posse; comunidades quilombolas ","Pode-se registrar também a ação de interesses contrários ao reconhecimento
das comunidades quilombolas em conflitos na esfera jurídica ou em casos de contestação
das titulações já efetuadas com famílias de remanescentes de quilombos
sendo despejadas de suas terras, por força do deferimento de pedidos de liminares
em ações de reintegração de posse movidas por supostos proprietários. O exemplo
mais ilustrativo refere-se a três famílias despejadas do Quilombo Mata Cavalo, em
Nossa Senhora do Livramento (MT), em 21 de maio de 2003.","2011-01-01"
"2021/09/24 5:56:48 PM GMT-3","Território;Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","propriedade; comunidade quilombola; titulação; terra  ","Os argumentos que compõem suas alegações não são de ordem demográfica como no tratamento que dão às terras indígenas, isto é, não fazem uso
da máxima: “muita terra para poucos pretos”. Não são também de ordem geográfica e agronômica como no tratamento que dão às entidades ambientalistas: “estão
querendo tomar as terras férteis (a Amazônia) e ricas em minerais”, mas se atém ao
princípio da propriedade e à sua história. Esta forma de dominação está enraizada
na vida social, facilitando as reconstituições históricas com recuo às sesmarias, aos
registros paroquiais a partir da Lei de Terras de 18 de setembro de 1850 e às leis
posteriores a 1891. Como corolário destas genealogias ilustres e das cadeias dominiais
os quilombos para eles só poderiam ter existido em terras devolutas e públicas.
Em outras palavras a história das chamadas “propriedades rurais” é um argumento
que opõem à titulação de comunidades quilombolas, consideram que se “tudo era
sesmaria e depois fazenda e estava titulado” os quilombos só poderiam ter existido
fora do domínio das grandes propriedades.","2011-01-01"
"2021/09/24 5:59:08 PM GMT-3","Quilombolas","Positiva","Quilombos e as novas etnias  http://novacartografiasocial.com.br/download/quilombos-e-as-novas-etnias-alfredo-wagner-berno-de-almeida/","Alfredo Wagner Berno de Almeida","titulação; terras de preto; escravo; comunidades remanescentes de quilombos ","Mediante obstáculos desta ordem, a titulação se mostra mais que essencial
posto que, historicamente, as famílias destas comunidades tem sido mantidas como
posseiros e assim parecem pretender mantê-las aqueles interesses contrários ao
reconhecimento das comunidades remanescentes de quilombos. Mantidas como
eternos posseiros ou com terras tituladas sem formal de partilha, como no caso das
chamadas terras de preto, que foram doadas a famílias de ex-escravos ou que foram
adquiridas por elas, sempre são mais factíveis de serem usurpadas. Negar o fator étnico,
além de despolitizar a questão, facilitaria, pois, os atos ilegítimos de usurpação.","2011-01-01"
